@relation 'lysozyme?weka.filters.unsupervised.attribute.Remove?V?R34,59,388,469,16,51,57?58,52,456,464,461,355,15,209,481?weka.filters.unsupervised.instance.Randomize?S42'

@attribute AASA4P numeric
@attribute AASA9pK numeric
@attribute AASA8DCph numeric
@attribute AASA9s numeric
@attribute AASA6Ht numeric
@attribute AASA1pK numeric
@attribute AASA7pK numeric
@attribute AASA8pK numeric
@attribute AASA2pK numeric
@attribute AASA6V numeric
@attribute AASA4s numeric
@attribute AASA1s numeric
@attribute AASA5GhN numeric
@attribute AASA5Ht numeric
@attribute AASA9Pr numeric
@attribute class {+,-}

@data
163.47,4.46,308.07,2.16,1.51,4.46,4.45,4.45,4.45,15.08,2.34,2.01,2.95,1.59,0.09,?
163.48,4.46,308.16,2.16,1.5,4.46,4.45,4.45,4.45,15.05,2.34,2.01,2.94,1.58,0.09,?
162.21,4.47,309.64,2.14,1.53,4.47,4.46,4.45,4.46,14.7,2.25,1.9,2.78,1.56,0.09,?
163.5,4.46,306.12,2.09,1.49,4.46,4.45,4.44,4.45,14.98,2.32,1.99,2.99,1.55,0.09,?
163.47,4.46,306.86,2.14,1.5,4.46,4.45,4.45,4.46,15.02,2.33,1.99,2.95,1.57,0.09,?
163.51,4.48,304.15,2.16,1.48,4.48,4.48,4.48,4.48,14.98,2.34,2.01,2.99,1.56,0.09,?
163.54,4.45,306.89,2.24,1.51,4.45,4.44,4.44,4.44,15.32,2.37,2.02,3.13,1.56,0.09,?
164.7,4.45,304.94,2.16,1.5,4.45,4.44,4.44,4.44,15.09,2.37,2.02,3.02,1.51,0.09,?
163.46,4.46,299.83,2.14,1.48,4.46,4.45,4.44,4.45,14.98,2.34,2.01,2.99,1.55,0.09,?
161.72,4.47,305.49,1.95,1.48,4.47,4.46,4.46,4.46,14.69,2.21,1.94,2.85,1.54,0.09,?
146.86,4.46,307.38,2.16,1.49,4.46,4.45,4.44,4.45,15.08,2.34,2.01,2.98,1.55,0.09,?
163.52,4.45,296.69,2.14,1.45,4.45,4.44,4.44,4.45,15.03,2.34,1.99,3.07,1.55,0.09,?
163.52,4.45,306.63,2.14,1.49,4.46,4.45,4.44,4.45,15.13,2.34,1.99,2.99,1.56,0.09,?
162.95,4.47,306.13,2.09,1.5,4.47,4.46,4.46,4.46,14.74,2.28,1.94,2.97,1.56,0.1,?
163.47,4.48,302.94,2.13,1.41,4.48,4.48,4.47,4.48,14.8,2.32,1.97,2.99,1.53,0.09,?
163.5,4.46,304.46,2.16,1.48,4.46,4.45,4.44,4.45,15.03,2.34,1.97,2.99,1.55,0.09,?
163.5,4.46,305.68,2.09,1.48,4.46,4.45,4.44,4.45,14.93,2.32,1.99,3,1.55,0.09,?
146.89,4.46,307.24,2.16,1.49,4.46,4.45,4.44,4.45,15.08,2.34,2.01,2.98,1.54,0.09,?
181.71,4.45,304.86,2.16,1.5,4.45,4.44,4.43,4.44,15.09,2.37,2.02,3.02,1.53,0.09,?
162.62,4.45,307.45,2.16,1.5,4.45,4.44,4.43,4.44,15.03,2.34,2.01,2.83,1.56,0.09,+
163.5,4.46,308.31,2.16,1.52,4.46,4.45,4.44,4.45,15.14,2.34,2.01,2.97,1.56,0.09,-
163.51,4.46,310.78,2.25,1.53,4.46,4.45,4.44,4.45,15.27,2.37,2.03,2.98,1.56,0.09,-
163.5,4.48,304.65,2.13,1.45,4.48,4.48,4.47,4.48,14.91,2.33,1.97,2.99,1.42,0.09,-
163.51,4.48,305.18,2.16,1.48,4.48,4.48,4.47,4.47,15.06,2.34,2.01,2.99,1.53,0.09,-
164.07,4.45,305.1,2.16,1.5,4.45,4.45,4.44,4.45,15.06,2.32,1.99,3.01,1.51,0.09,-
163.51,4.45,306.55,2.16,1.49,4.45,4.44,4.44,4.44,15.11,2.34,2.01,3.14,1.55,0.09,-
163.48,4.46,304.56,2.16,1.48,4.46,4.45,4.45,4.45,14.8,2.32,1.98,2.92,1.53,0.09,-
163.02,4.45,308.23,2.16,1.5,4.45,4.44,4.44,4.44,15.05,2.34,2.01,2.93,1.56,0.09,-
164.75,4.44,306.24,2.45,1.49,4.44,4.43,4.43,4.43,15.27,2.43,2.06,3.32,1.55,0.09,+
163.51,4.45,307.93,2.16,1.51,4.46,4.45,4.44,4.45,15.18,2.34,2.01,2.99,1.57,0.09,+
182.56,4.44,305.85,2.16,1.5,4.44,4.43,4.43,4.43,15.13,2.43,2.06,3.06,1.53,0.09,-
163.55,4.48,303.87,2.16,1.48,4.48,4.48,4.48,4.48,15.08,2.32,1.99,2.99,1.56,0.09,-
145.19,4.46,305.7,2.16,1.49,4.46,4.45,4.45,4.45,14.88,2.34,2.01,2.98,1.54,0.09,-
162.98,4.46,312.12,2.16,1.53,4.46,4.45,4.45,4.46,15.08,2.34,2.01,2.98,1.58,0.09,+
163.5,4.46,308.19,2.16,1.51,4.46,4.45,4.44,4.45,15.15,2.34,2.01,2.98,1.58,0.09,-
162.86,4.45,307.16,2.16,1.48,4.46,4.45,4.44,4.45,15.08,2.34,2.01,2.99,1.54,0.09,+
163.5,4.46,307.49,2.16,1.51,4.46,4.45,4.45,4.45,15.02,2.34,2.01,2.94,1.57,0.09,-
163.51,4.44,307.29,2.24,1.51,4.44,4.44,4.43,4.43,15.27,2.37,2.02,3,1.56,0.09,-
164.05,4.45,306.84,2.16,1.5,4.45,4.44,4.44,4.44,15.15,2.37,2.02,3.02,1.58,0.09,-
162.86,4.47,306.17,2.14,1.5,4.47,4.46,4.46,4.46,14.94,2.33,1.98,2.98,1.56,0.09,-
163.52,4.48,305.61,2.16,1.45,4.48,4.48,4.47,4.48,14.99,2.34,2.01,2.99,1.54,0.09,-
163.5,4.46,306.5,2.16,1.49,4.46,4.45,4.44,4.45,14.98,2.34,1.97,2.99,1.54,0.09,-
163.48,4.46,305.44,2.16,1.49,4.46,4.45,4.45,4.45,14.83,2.32,1.98,2.92,1.54,0.09,-
163.51,4.47,306.1,2.16,1.49,4.47,4.46,4.46,4.46,15.37,2.37,2.02,3,1.56,0.09,-
163.45,4.46,309.22,2.16,1.55,4.46,4.45,4.45,4.46,15.08,2.34,2.01,2.91,1.6,0.09,-
163.5,4.46,310.83,2.16,1.52,4.46,4.45,4.44,4.45,15.14,2.34,2.01,2.98,1.56,0.09,+
163.5,4.46,309.89,2.16,1.5,4.46,4.45,4.44,4.45,15.15,2.34,2.01,2.98,1.57,0.09,-
163.5,4.48,301.65,2.13,1.46,4.49,4.48,4.47,4.48,15.01,2.32,1.99,2.99,1.51,0.09,-
163.51,4.44,308.29,2.19,1.53,4.44,4.44,4.43,4.44,15.22,2.37,2.05,2.99,1.57,0.09,-
163.5,4.46,309.93,2.16,1.5,4.46,4.45,4.44,4.45,15.13,2.34,2.01,2.98,1.56,0.09,-
163.52,4.45,306.19,2.19,1.52,4.45,4.44,4.44,4.44,15.32,2.35,2.02,3.09,1.56,0.09,-
163.45,4.46,306.73,2.14,1.52,4.46,4.46,4.45,4.46,14.88,2.33,1.96,2.91,1.58,0.09,-
163.49,4.43,307.66,2.16,1.5,4.43,4.42,4.42,4.42,15.09,2.34,2.01,2.98,1.59,0.09,+
162.87,4.46,309.67,2.16,1.5,4.46,4.45,4.45,4.45,15.04,2.34,2.01,2.93,1.57,0.09,+
162.86,4.47,304.85,2.14,1.49,4.47,4.46,4.46,4.46,14.91,2.33,1.98,2.98,1.55,0.09,-
163.51,4.48,306.39,2.16,1.48,4.48,4.48,4.47,4.48,15.03,2.34,2.01,2.99,1.5,0.09,-
163.54,4.45,295.82,2.19,1.45,4.45,4.44,4.44,4.44,15.13,2.35,2.02,3.1,1.55,0.09,-
163.5,4.42,310.65,2.16,1.53,4.43,4.42,4.42,4.42,15.13,2.34,2.01,2.98,1.56,0.09,+
163.5,4.46,309.26,2.16,1.51,4.46,4.45,4.44,4.45,15.1,2.34,2.01,2.99,1.58,0.09,-
